delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,key_resp.keys,key_resp.rt,sound_1.started,sound_1.stopped,text.started,textbox.started,button.started,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,
0.1,400,unexp,0,0,0,0,11.297355500006233,12.263720300004934,12.263720300004934,12.297010900001624,space,0.4045808999799192,12.79657563001383,13.125200300011784,13.125200300011784,13.125200300011784,13.125200300011784,450,1,[2.2740491000004113],[2.2740601999976207],552415,001,2022-11-10_22h47.58.612,T7,2022.2.4,59.9800146553187,
0.4,400,unexp,0,1,1,1,15.363531300012255,16.363886400009505,16.363886400009505,16.363886400009505,space,0.8903577999881236,17.68008853000647,,17.9802509000001,17.9802509000001,17.9802509000001,560,2,"[2.2740491000004113, 2.4660926000069594]","[2.2740601999976207, 2.4661017000034917]",552415,001,2022-11-10_22h47.58.612,T7,2022.2.4,59.9800146553187,
0.1,1000,exp,0,2,2,3,20.446633200001088,21.44638570000825,21.44638570000825,21.44638570000825,space,3.31157949999033,24.87992483000853,,25.179886500001885,25.179886500001885,25.179886500001885,600,3,"[2.2740491000004113, 2.4660926000069594, 4.548173000002862]","[2.2740601999976207, 2.4661017000034917, 4.548183399994741]",552415,001,2022-11-10_22h47.58.612,T7,2022.2.4,59.9800146553187,
0.4,1000,exp,0,3,3,4,29.72983930000919,30.730040800001007,30.730040800001007,30.730040800001007,space,0.7945417999872006,31.94652533000335,,32.24632860001293,32.24632860001293,32.24632860001293,500,4,"[2.2740491000004113, 2.4660926000069594, 4.548173000002862, 7.7325188999966485]","[2.2740601999976207, 2.4661017000034917, 4.548183399994741, 7.73252639999555]",552415,001,2022-11-10_22h47.58.612,T7,2022.2.4,59.9800146553187,
0.4,1000,exp,0,4,4,10,39.97940480000398,40.97957700000552,40.97957700000552,40.97957700000552,space,0.24347029998898506,41.64630273000803,41.9464813000086,41.9464813000086,41.9464813000086,41.9464813000086,600,5,"[2.2740491000004113, 2.4660926000069594, 4.548173000002862, 7.7325188999966485, 2.74882140000409]","[2.2740601999976207, 2.4661017000034917, 4.548183399994741, 7.73252639999555, 2.748834900005022]",552415,001,2022-11-10_22h47.58.612,T7,2022.2.4,59.9800146553187,
0.7,1000,exp,0,5,5,5,44.69585490001191,45.69593600000371,45.69593600000371,45.69593600000371,space,3.107306999983848,49.52957463001367,49.829324500009534,49.829324500009534,49.829324500009534,49.829324500009534,684,6,"[2.2740491000004113, 2.4660926000069594, 4.548173000002862, 7.7325188999966485, 2.74882140000409, 3.749088699987624]","[2.2740601999976207, 2.4661017000034917, 4.548183399994741, 7.73252639999555, 2.748834900005022, 3.749097299994901]",552415,001,2022-11-10_22h47.58.612,T7,2022.2.4,59.9800146553187,
0.4,1000,exp,0,6,6,7,53.579403200012166,54.57944850000786,54.57944850000786,54.57944850000786,space,2.8371161999821197,57.84606353000272,,58.1457769000117,58.1457769000117,58.1457769000117,560,7,"[2.2740491000004113, 2.4660926000069594, 4.548173000002862, 7.7325188999966485, 2.74882140000409, 3.749088699987624, 1.9485854000085965]","[2.2740601999976207, 2.4661017000034917, 4.548183399994741, 7.73252639999555, 2.748834900005022, 3.749097299994901, 1.9485934000113048]",552415,001,2022-11-10_22h47.58.612,T7,2022.2.4,59.9800146553187,
0.7,1000,exp,0,7,7,11,60.09587740000279,61.0955193000118,61.0955193000118,61.0955193000118,space,0.9388579999795184,62.762684930002436,,63.0623775000131,63.0623775000131,63.0623775000131,500,8,"[2.2740491000004113, 2.4660926000069594, 4.548173000002862, 7.7325188999966485, 2.74882140000409, 3.749088699987624, 1.9485854000085965, 3.414302899996983]","[2.2740601999976207, 2.4661017000034917, 4.548183399994741, 7.73252639999555, 2.748834900005022, 3.749097299994901, 1.9485934000113048, 3.414312000008067]",552415,001,2022-11-10_22h47.58.612,T7,2022.2.4,59.9800146553187,
0.7,400,unexp,0,8,8,2,66.4790178000112,67.47929650000879,67.47929650000879,67.47929650000879,space,0.5285709999880055,68.72895013001398,69.02902910001285,69.02902910001285,69.02902910001285,69.02902910001285,400,9,"[2.2740491000004113, 2.4660926000069594, 4.548173000002862, 7.7325188999966485, 2.74882140000409, 3.749088699987624, 1.9485854000085965, 3.414302899996983, 2.3810407999990275]","[2.2740601999976207, 2.4661017000034917, 4.548183399994741, 7.73252639999555, 2.748834900005022, 3.749097299994901, 1.9485934000113048, 3.414312000008067, 2.381051500007743]",552415,001,2022-11-10_22h47.58.612,T7,2022.2.4,59.9800146553187,
0.1,1000,exp,0,9,9,9,71.41237510000065,72.4123271000135,72.4123271000135,72.4123271000135,space,1.4306829999841284,73.96191933000519,,74.26213480001024,74.26213480001024,74.26213480001024,568,10,"[2.2740491000004113, 2.4660926000069594, 4.548173000002862, 7.7325188999966485, 2.74882140000409, 3.749088699987624, 1.9485854000085965, 3.414302899996983, 2.3810407999990275, 2.8987961999955587]","[2.2740601999976207, 2.4661017000034917, 4.548183399994741, 7.73252639999555, 2.748834900005022, 3.749097299994901, 1.9485934000113048, 3.414312000008067, 2.381051500007743, 2.8988053999928525]",552415,001,2022-11-10_22h47.58.612,T7,2022.2.4,59.9800146553187,
