delay,freq,condition,textbox.text,button.numClicks,,,,
0.1,1000,exp,600,3,,,,
0.4,1000,exp,500,4,,,,
0.4,1000,exp,600,5,,,,
0.7,1000,exp,684,6,,,,
0.4,1000,exp,560,7,,,expected= ,550.488
0.7,1000,exp,500,8,,,unexpected=,340.6
0.1,1000,exp,568,10,,,,
0.7,1000,exp,543,11,,,THE DIFFERENCE = ,209.888
0.1,1000,exp,674,12,,,,
0.4,1000,exp,695,14,,,,
0.7,1000,exp,635,15,,,,
0.4,1000,exp,350,16,,,,
0.1,1000,exp,460,18,,,,
0.7,1000,exp,769,19,,,,
0.1,1000,exp,694,21,,,,
0.7,1000,exp,842,22,,,,
0.4,1000,exp,678,23,,,,
0.1,1000,exp,887,24,,,,
0.1,1000,exp,458,25,,,,
0.4,1000,exp,568,26,,,,
0.1,1000,exp,463,27,,,,
0.4,1000,exp,390,28,,,,
0.7,1000,exp,390,30,,,,
0.1,1000,exp,572,31,,,,
0.7,1000,exp,670,32,,,,
0.4,1000,exp,456,33,,,,
0.7,1000,exp,670,34,,,,
0.7,1000,exp,360,37,,,,
0.7,1000,exp,487,39,,,,
0.4,1000,exp,600,40,,,,
0.7,1000,exp,360,42,,,,
0.1,1000,exp,630,43,,,,
0.1,1000,exp,692,44,,,,
0.4,1000,exp,560,46,,,,
0.4,1000,exp,520,47,,,,
0.1,1000,exp,374,48,,,,
0.4,1000,exp,290,49,,,,
0.1,1000,exp,290,50,,,,
0.1,1000,exp,400,51,,,,
0.1,1000,exp,589,52,,,,
0.7,1000,exp,380,53,,,,
0.7,1000,exp,480,54,,,,
0.7,1000,exp,460,58,,,,
0.4,1000,exp,632,59,,,,
0.4,1000,exp,792,60,,,,
0.1,400,unexp,450,1,,,,
0.4,400,unexp,560,2,,,,
0.7,400,unexp,400,9,,,,
0.7,400,unexp,546,13,,,,
0.4,400,unexp,250,17,,,,
0.1,400,unexp,567,20,,,,
0.4,400,unexp,289,29,,,,
0.1,400,unexp,200,35,,,,
0.7,400,unexp,230,36,,,,
0.4,400,unexp,257,38,,,,
0.1,400,unexp,260,41,,,,
0.7,400,unexp,200,45,,,,
0.1,400,unexp,330,55,,,,
0.4,400,unexp,290,56,,,,
0.7,400,unexp,280,57,,,,
